profile,layout,recordTypeAdmin,Account-Accounts Germany 2019 v2,Account.GE_Account_SKU_resolution
Admin,Account-Accounts Germany- SYS Admin,Account.GE_Account
Admin,Account-FI Account Layout,Account.FI_Account
Admin,Account-GO Account Layout- SYS Admin,Account.GDPR_MSA_Addendum_Recipient
Admin,Account-GO Account Layout- SYS Admin,Account.UK_Account
Admin,Account-PRN Account Layout,Account.PRN_Account
Admin,Account-SE Account Layout,Account.SE_Account
Admin,Account-UK Contract Admin Account Layout,
Admin,AccountContactRelation-Account Contact Relationship Layout,
Admin,AccountContactRole-Company Contact Role Layout,
Admin,AccountSummaryCache__c-AccountSummaryCache Layout,
Admin,AccountTeamMember-Company Team Member Layout,
Admin,Account_Id__c-TEMP Account Id Layout,
Admin,Agreement_contact__c-Agreement contact Layout,
Admin,Analysis_cost__c-Analysis cost Layout,
Admin,Analysis_income_forecast__c-Analysis income forecast Layout,
Admin,Asset-Asset Layout,
Admin,At_Risk__c-At Risk Layout,
Admin,Attachment_Black_List__c-Attachment Black List Layout,
Admin,C3_Add_on__c-C3 Add-on Layout,
Admin,CCM_EmailCampaignMember__c-CCM_EmailCampaignMember Layout,
Admin,CalculateCubistTemp__c-CalculateCubistTemp Layout,
Admin,Campaign-Campaign Layout,
Admin,Campaign-Campaign Layout,Campaign.Child_Campaign
Admin,Campaign-GO New_Campaign_Layout,Campaign.GO_Marketing_Campaings
Admin,Campaign-GO Webinar Test,Campaign.GO_GotoWebinar_Campaign
Admin,Campaign-Parent Campaign Page Layout,Campaign.Parent_Campaign
Admin,Campaign-SE Campaign Layout,Campaign.SE_Campaign
Admin,CampaignMember-Campaign Member Page Layout,
Admin,CampaignMember-GO Campaign Member Page Layout,CampaignMember.GO_Campaign_Member
Admin,CampaignMember-SE Campaign Member Layout,CampaignMember.SE_Campaign_Member
Admin,CampaignMemberStatus-Campaign Member Status Layout,
Admin,Case-Case Layout,Case.UK_Cases
Admin,Case-GE Case Layout,Case.GE_Cases
Admin,Case-GO Case Layout,Case.GO_Case
Admin,Case-Go Child Case Layout,Case.GO_Child_Case
Admin,Case-ProductForce Case Layout,Case.PM_Case
Admin,Case-SE Case Layout,
Admin,Case-SE Case Layout,Case.SE_Cases
Admin,CaseClose-Close Case Layout,
Admin,CaseClose-SE Close Case Layout,Case.SE_Cases
Admin,CaseInteraction-Case Feed Layout,
Admin,CaseInteraction-SE Case Feed Layout,Case.SE_Cases
Admin,Case_Item__c-IRRELEVANT Monitoring Item Layout,
Admin,Case_Item__c-IRRELEVANT Monitoring Item Layout,Case_Item__c.Irrelevant
Admin,Client_Configuration__c-Client Configuration Layout,
Admin,CollaborationGroup-Group Layout,
Admin,CommunityMemberLayout-Community Member Layout,
Admin,CompanyProductAssociation__c-AccountProductAssociations Layout,
Admin,ConsumptionRate-Consumption Rate Layout,
Admin,ConsumptionSchedule-Consumption Schedule Layout,
Admin,Contact-Contact Layout,
Admin,Contact-Contact Layout,Contact.DE_Contact
Admin,Contact-FI Contact Layout,Contact.FI_Contact
Admin,Contact-GO Administrator Page Layout,Contact.GDPR_contact_record
Admin,Contact-Media Update Layout,Contact.UK_Media_Update_Contact
Admin,Contact-PRN Contact Layout,Contact.PRN_Contact
Admin,Contact-SE Contact Layout,Contact.SE_Contact
Admin,Contact-UK Sales Page Layout,Contact.UK_Sales
Admin,ContentAsset-Asset File Layout,
Admin,ContentVersion-General,
Admin,CustomOpportunityHistory__c-CustomOpportunityHistory Layout,
Admin,Disable_Setting__mdt-Disable Setting Layout,
Admin,DuplicateRecordItem-Duplicate Record Item Layout,
Admin,DuplicateRecordSet-Duplicate Record Set Layout,
Admin,EmailMessage-Email Message Layout - Email-to-Case,
Admin,Event-Event Layout,
Admin,Event-FI Event Layout,Event.FI_Event
Admin,Event-GO Event Layout,Event.GO_Meeting_Event
Admin,Exchequer_Contract_Line_Item__c-Exchequer Contract Line Item Layout,
Admin,Exchequer_Contract__c-Exchequer Contract Layout,
Admin,FeedItem-Feed Item Layout,
Admin,FlowInterview-Flow Interview Layout,
Admin,GDPR_Account_Object__c-GDPR Account Object Layout,
Admin,Global-CS Global Layout,
Admin,Goal-Goal Layout,
Admin,GoalLink-Goal Link Layout,
Admin,Gorkana_Agreement__c-GO Analysis agreement layout,
Admin,Gorkana_Agreement__c-GO Analysis agreement layout,Gorkana_Agreement__c.GO_Analysis_agreement
Admin,Gorkana_Agreement__c-GO Database agreement layout,Gorkana_Agreement__c.GO_Database_agreement
